chr	start	end	strand	gene_id	transcript_id	gene_name	gene_biotype	transcript_biotype
XV	356751	357221	+	YOR013W	YOR013W_mRNA	YOR013W	protein_coding	protein_coding
XV	357674	359947	+	YOR014W	YOR014W_mRNA	RTS1	protein_coding	protein_coding
XV	359993	360352	+	YOR015W	YOR015W_mRNA	YOR015W	protein_coding	protein_coding
XV	360461	361084	-	YOR016C	YOR016C_mRNA	YOR016C	protein_coding	protein_coding
XV	361412	363814	+	YOR017W	YOR017W_mRNA	YOR017W	protein_coding	protein_coding
XV	364369	366882	+	YOR018W	YOR018W_mRNA	ROD1	protein_coding	protein_coding
XV	368127	370319	+	YOR019W	YOR019W_mRNA	YOR019W	protein_coding	protein_coding
XV	370524	370844	-	YOR020C	YOR020C_mRNA	HSP10	protein_coding	protein_coding
XV	371685	371957	+	YOR020W-A	YOR020W-A_mRNA	YOR020W-A	protein_coding	protein_coding
XV	372798	373439	-	YOR021C	YOR021C_mRNA	YOR021C	protein_coding	protein_coding
XV	373710	375857	-	YOR022C	YOR022C_mRNA	YOR022C	protein_coding	protein_coding
XV	376012	377712	-	YOR023C	YOR023C_mRNA	YOR023C	protein_coding	protein_coding
XV	377847	378170	+	YOR024W	YOR024W_mRNA	YOR024W	protein_coding	protein_coding
XV	378219	379562	+	YOR025W	YOR025W_mRNA	YOR025W	protein_coding	protein_coding
XV	379781	380806	+	YOR026W	YOR026W_mRNA	YOR026W	protein_coding	protein_coding
XV	381053	382822	+	YOR027W	YOR027W_mRNA	YOR027W	protein_coding	protein_coding
XV	383533	384420	-	YOR028C	YOR028C_mRNA	CIN5	protein_coding	protein_coding
XV	384600	384935	+	YOR029W	YOR029W_mRNA	YOR029W	protein_coding	protein_coding
XV	386825	388684	+	YOR030W	YOR030W_mRNA	DFG16	protein_coding	protein_coding
XV	389771	391075	-	YOR032C	YOR032C_mRNA	YOR032C	protein_coding	protein_coding
XV	392176	392376	+	YOR032W-A	YOR032W-A_mRNA	YOR032W-A	protein_coding	protein_coding
XV	392416	394524	-	YOR033C	YOR033C_mRNA	EXO1	protein_coding	protein_coding
XV	394837	397086	-	YOR034C	YOR034C_mRNA	YOR034C	protein_coding	protein_coding
XV	397426	397668	-	YOR034C-A	YOR034C-A_mRNA	YOR034C-A	protein_coding	protein_coding
XV	397735	400104	-	YOR035C	YOR035C_mRNA	SHE4	protein_coding	protein_coding
XV	400348	401214	+	YOR036W	YOR036W_mRNA	PEP12	protein_coding	protein_coding
XV	401555	402655	+	YOR037W	YOR037W_mRNA	YOR037W	protein_coding	protein_coding
XV	402761	405388	-	YOR038C	YOR038C_mRNA	HIR2	protein_coding	protein_coding
XV	405768	406544	+	YOR039W	YOR039W_mRNA	CKB2	protein_coding	protein_coding
XV	407064	407921	+	YOR040W	YOR040W_mRNA	YOR040W	protein_coding	protein_coding
XV	407948	408134	-	snR9	snR9_snoRNA	snR9	snoRNA	snoRNA
XV	408358	408789	-	YOR041C	YOR041C_mRNA	YOR041C	protein_coding	protein_coding
XV	408425	409660	+	YOR042W	YOR042W_mRNA	YOR042W	protein_coding	protein_coding
XV	409765	409864	-	snR62	snR62_snoRNA	snR62	snoRNA	snoRNA
XV	410870	412330	+	YOR043W	YOR043W_mRNA	YOR043W	protein_coding	protein_coding
XV	413007	413480	+	YOR044W	YOR044W_mRNA	YOR044W	protein_coding	protein_coding
XV	413852	414037	+	YOR045W	YOR045W_mRNA	TOM6	protein_coding	protein_coding
XV	414459	415907	-	YOR046C	YOR046C_mRNA	DBP5	protein_coding	protein_coding
XV	416347	417681	-	YOR047C	YOR047C_mRNA	STD1	protein_coding	protein_coding
XV	418630	421650	-	YOR048C	YOR048C_mRNA	RAT1	protein_coding	protein_coding
XV	422668	423732	-	YOR049C	YOR049C_mRNA	YOR049C	protein_coding	protein_coding
XV	424270	424617	-	YOR050C	YOR050C_mRNA	YOR050C	protein_coding	protein_coding
XV	424846	426084	-	YOR051C	YOR051C_mRNA	ETT1	protein_coding	protein_coding
XV	426772	427224	-	YOR052C	YOR052C_mRNA	YOR052C	protein_coding	protein_coding
XV	427817	428158	+	YOR053W	YOR053W_mRNA	YOR053W	protein_coding	protein_coding
XV	427833	429857	-	YOR054C	YOR054C_mRNA	VHS3	protein_coding	protein_coding
XV	429478	429912	+	YOR055W	YOR055W_mRNA	YOR055W	protein_coding	protein_coding
XV	430247	431626	-	YOR056C	YOR056C_mRNA	NOB1	protein_coding	protein_coding
XV	432186	433373	+	YOR057W	YOR057W_mRNA	SGT1	protein_coding	protein_coding
XV	433688	436345	-	YOR058C	YOR058C_mRNA	ASE1	protein_coding	protein_coding
XV	438643	438738	+	tK(UUU)O	tK(UUU)O_tRNA	tK(UUU)O	tRNA	tRNA
XV	438906	440258	-	YOR059C	YOR059C_mRNA	YOR059C	protein_coding	protein_coding
XV	440390	441163	-	YOR060C	YOR060C_mRNA	SLD7	protein_coding	protein_coding
XV	441534	442553	+	YOR061W	YOR061W_mRNA	CKA2	protein_coding	protein_coding
XV	442725	443531	-	YOR062C	YOR062C_mRNA	YOR062C	protein_coding	protein_coding
XV	444686	445849	+	YOR063W	YOR063W_mRNA	RPL3	protein_coding	protein_coding
XV	446079	446738	-	YOR064C	YOR064C_mRNA	YNG1	protein_coding	protein_coding
XV	447439	448368	+	YOR065W	YOR065W_mRNA	CYT1	protein_coding	protein_coding
XV	449436	451325	+	YOR066W	YOR066W_mRNA	MSA1	protein_coding	protein_coding
XV	451729	453462	-	YOR067C	YOR067C_mRNA	ALG8	protein_coding	protein_coding
XV	453768	455795	+	YOR069W	YOR069W_mRNA	VPS5	protein_coding	protein_coding
XV	453869	454213	-	YOR068C	YOR068C_mRNA	VAM10	protein_coding	protein_coding
XV	455907	457820	-	YOR070C	YOR070C_mRNA	GYP1	protein_coding	protein_coding
XV	459480	461276	-	YOR071C	YOR071C_mRNA	NRT1	protein_coding	protein_coding
XV	461502	461816	+	YOR072W	YOR072W_mRNA	YOR072W	protein_coding	protein_coding
XV	461791	462039	+	YOR072W-A	YOR072W-A_mRNA	YOR072W-A	protein_coding	protein_coding
XV	464450	464551	+	tP(UGG)O2	tP(UGG)O2_tRNA	tP(UGG)O2	tRNA	tRNA
XV	464469	464630	+	YOR072W-B	YOR072W-B_mRNA	YOR072W-B	protein_coding	protein_coding
XV	464771	466543	+	YOR073W	YOR073W_mRNA	SGO1	protein_coding	protein_coding
XV	466675	467589	-	YOR074C	YOR074C_mRNA	CDC21	protein_coding	protein_coding
XV	467390	467623	+	YOR073W-A	YOR073W-A_mRNA	YOR073W-A	protein_coding	protein_coding
XV	468212	469252	+	YOR075W	YOR075W_mRNA	UFE1	protein_coding	protein_coding
XV	469377	471620	-	YOR076C	YOR076C_mRNA	SKI7	protein_coding	protein_coding
XV	471899	472597	+	YOR077W	YOR077W_mRNA	RTS2	protein_coding	protein_coding
XV	472725	473369	+	YOR078W	YOR078W_mRNA	BUD21	protein_coding	protein_coding
XV	473475	474416	-	YOR079C	YOR079C_mRNA	ATX2	protein_coding	protein_coding
XV	474594	476792	+	YOR080W	YOR080W_mRNA	DIA2	protein_coding	protein_coding
XV	476939	479188	-	YOR081C	YOR081C_mRNA	TGL5	protein_coding	protein_coding
XV	479296	479637	-	YOR082C	YOR082C_mRNA	YOR082C	protein_coding	protein_coding
XV	479533	480420	+	YOR083W	YOR083W_mRNA	YOR083W	protein_coding	protein_coding
XV	480587	481750	+	YOR084W	YOR084W_mRNA	YOR084W	protein_coding	protein_coding
XV	482033	483085	+	YOR085W	YOR085W_mRNA	YOR085W	protein_coding	protein_coding
XV	483219	486779	-	YOR086C	YOR086C_mRNA	YOR086C	protein_coding	protein_coding
XV	487439	487512	+	tN(GUU)O2	tN(GUU)O2_tRNA	tN(GUU)O2	tRNA	tRNA
XV	487707	489734	+	YOR087W	YOR087W_mRNA	YVC1	protein_coding	protein_coding
XV	490196	490828	-	YOR089C	YOR089C_mRNA	VPS21	protein_coding	protein_coding
XV	491123	492841	-	YOR090C	YOR090C_mRNA	PTC5	protein_coding	protein_coding
XV	493433	494470	+	YOR091W	YOR091W_mRNA	TMA46	protein_coding	protein_coding
XV	495127	496968	+	YOR092W	YOR092W_mRNA	ECM3	protein_coding	protein_coding
XV	497506	502452	-	YOR093C	YOR093C_mRNA	YOR093C	protein_coding	protein_coding
XV	502795	503346	+	YOR094W	YOR094W_mRNA	ARF3	protein_coding	protein_coding
XV	503552	504328	-	YOR095C	YOR095C_mRNA	YOR095C	protein_coding	protein_coding
XV	505794	506767	+	YOR096W	YOR096W_mRNA	RPS7A	protein_coding	protein_coding
XV	506978	507505	-	YOR097C	YOR097C_mRNA	YOR097C	protein_coding	protein_coding
XV	507948	511178	-	YOR098C	YOR098C_mRNA	YOR098C	protein_coding	protein_coding
XV	511825	513006	+	YOR099W	YOR099W_mRNA	YOR099W	protein_coding	protein_coding
XV	513295	514278	-	YOR100C	YOR100C_mRNA	YOR100C	protein_coding	protein_coding
XV	515244	516173	+	YOR101W	YOR101W_mRNA	YOR101W	protein_coding	protein_coding
XV	516423	516773	+	YOR102W	YOR102W_mRNA	YOR102W	protein_coding	protein_coding
XV	516449	516841	-	YOR103C	YOR103C_mRNA	YOR103C	protein_coding	protein_coding
XV	517642	518490	+	YOR104W	YOR104W_mRNA	YOR104W	protein_coding	protein_coding
XV	518195	518521	+	YOR105W	YOR105W_mRNA	YOR105W	protein_coding	protein_coding
XV	519121	519972	+	YOR106W	YOR106W_mRNA	VAM3	protein_coding	protein_coding
XV	521353	522282	+	YOR107W	YOR107W_mRNA	YOR107W	protein_coding	protein_coding
XV	523027	524841	+	YOR108W	YOR108W_mRNA	YOR108W	protein_coding	protein_coding
XV	524605	524814	-	YOR108C-A	YOR108C-A_mRNA	YOR108C-A	protein_coding	protein_coding
XV	525278	528601	+	YOR109W	YOR109W_mRNA	INP53	protein_coding	protein_coding
XV	528941	530248	+	YOR110W	YOR110W_mRNA	TFC7	protein_coding	protein_coding
XV	530429	531127	+	YOR111W	YOR111W_mRNA	YOR111W	protein_coding	protein_coding
XV	531508	533793	+	YOR112W	YOR112W_mRNA	YOR112W	protein_coding	protein_coding
XV	534075	536819	+	YOR113W	YOR113W_mRNA	YOR113W	protein_coding	protein_coding
XV	537570	538454	+	YOR114W	YOR114W_mRNA	YOR114W	protein_coding	protein_coding
XV	538659	539465	-	YOR115C	YOR115C_mRNA	YOR115C	protein_coding	protein_coding
XV	539763	544145	-	YOR116C	YOR116C_mRNA	RPO31	protein_coding	protein_coding
XV	545029	546333	+	YOR117W	YOR117W_mRNA	RPT5	protein_coding	protein_coding
XV	546857	548560	+	YOR118W	YOR118W_mRNA	YOR118W	protein_coding	protein_coding
XV	548792	550246	-	YOR119C	YOR119C_mRNA	RIO1	protein_coding	protein_coding
XV	551114	552052	+	YOR120W	YOR120W_mRNA	GCY1	protein_coding	protein_coding
XV	551798	552103	-	YOR121C	YOR121C_mRNA	YOR121C	protein_coding	protein_coding
XV	552298	552887	-	YOR122C	YOR122C_mRNA	PFY1	protein_coding	protein_coding
XV	553176	554570	-	YOR123C	YOR123C_mRNA	YOR123C	protein_coding	protein_coding
XV	554824	558642	-	YOR124C	YOR124C_mRNA	YOR124C	protein_coding	protein_coding
XV	559030	559731	-	YOR125C	YOR125C_mRNA	CAT5	protein_coding	protein_coding
XV	559961	560677	-	YOR126C	YOR126C_mRNA	YOR126C	protein_coding	protein_coding
XV	561170	564193	+	YOR127W	YOR127W_mRNA	RGA1	protein_coding	protein_coding
XV	564476	566191	-	YOR128C	YOR128C_mRNA	YOR128C	protein_coding	protein_coding
XV	566877	569558	-	YOR129C	YOR129C_mRNA	YOR129C	protein_coding	protein_coding
XV	569929	570807	-	YOR130C	YOR130C_mRNA	ORT1	protein_coding	protein_coding
XV	571958	572029	+	tD(GUC)O	tD(GUC)O_tRNA	tD(GUC)O	tRNA	tRNA
XV	572182	572838	-	YOR131C	YOR131C_mRNA	YOR131C	protein_coding	protein_coding
XV	573175	574830	+	YOR132W	YOR132W_mRNA	VPS17	protein_coding	protein_coding
XV	575098	577626	+	YOR133W	YOR133W_mRNA	YOR133W	protein_coding	protein_coding
XV	578564	579793	+	YOR134W	YOR134W_mRNA	YOR134W	protein_coding	protein_coding
XV	580159	580500	-	YOR135C	YOR135C_mRNA	YOR135C	protein_coding	protein_coding
XV	580250	581359	+	YOR136W	YOR136W_mRNA	YOR136W	protein_coding	protein_coding
XV	581813	583681	-	YOR137C	YOR137C_mRNA	YOR137C	protein_coding	protein_coding
XV	584309	586324	-	YOR138C	YOR138C_mRNA	YOR138C	protein_coding	protein_coding
XV	586950	587342	-	YOR139C	YOR139C_mRNA	YOR139C	protein_coding	protein_coding
XV	586981	589281	+	YOR140W	YOR140W_mRNA	YOR140W	protein_coding	protein_coding
XV	589942	592587	-	YOR141C	YOR141C_mRNA	YOR141C	protein_coding	protein_coding
XV	593057	594046	+	YOR142W	YOR142W_mRNA	YOR142W	protein_coding	protein_coding
XV	594354	594425	-	tG(CCC)O	tG(CCC)O_tRNA	tG(CCC)O	tRNA	tRNA
XV	601383	602342	-	YOR143C	YOR143C_mRNA	YOR143C	protein_coding	protein_coding
XV	602717	605092	-	YOR144C	YOR144C_mRNA	ELG1	protein_coding	protein_coding
XV	605347	606171	-	YOR145C	YOR145C_mRNA	PNO1	protein_coding	protein_coding
XV	605873	606178	+	YOR146W	YOR146W_mRNA	YOR146W	protein_coding	protein_coding
XV	606607	608475	+	YOR147W	YOR147W_mRNA	YOR147W	protein_coding	protein_coding
XV	608640	609197	-	YOR148C	YOR148C_mRNA	YOR148C	protein_coding	protein_coding
XV	609838	611388	-	YOR149C	YOR149C_mRNA	SMP3	protein_coding	protein_coding
XV	611999	612490	+	YOR150W	YOR150W_mRNA	MRPL23	protein_coding	protein_coding
XV	612997	616671	-	YOR151C	YOR151C_mRNA	RPB2	protein_coding	protein_coding
XV	617518	618288	-	YOR152C	YOR152C_mRNA	YOR152C	protein_coding	protein_coding
XV	619840	624375	+	YOR153W	YOR153W_mRNA	PDR5	protein_coding	protein_coding
XV	624729	626492	+	YOR154W	YOR154W_mRNA	YOR154W	protein_coding	protein_coding
XV	626628	627980	-	YOR155C	YOR155C_mRNA	YOR155C	protein_coding	protein_coding
XV	628360	630540	-	YOR156C	YOR156C_mRNA	NFI1	protein_coding	protein_coding
XV	630966	631751	-	YOR157C	YOR157C_mRNA	YOR157C	protein_coding	protein_coding
XV	632164	633120	+	YOR158W	YOR158W_mRNA	YOR158W	protein_coding	protein_coding
XV	633282	633566	-	YOR159C	YOR159C_mRNA	SME1	protein_coding	protein_coding
XV	633839	636757	+	YOR160W	YOR160W_mRNA	MTR10	protein_coding	protein_coding
XV	636939	638558	-	YOR161C	YOR161C_mRNA	YOR161C	protein_coding	protein_coding
XV	637574	637654	+	YOR161W-A	YOR161W-A_mRNA	YOR161W-A	protein_coding	protein_coding
XV	637975	638235	+	YOR161W-B	YOR161W-B_mRNA	YOR161W-B	protein_coding	protein_coding
XV	639121	639267	-	YOR161C-C	YOR161C-C_mRNA	YOR161C-C	protein_coding	protein_coding
XV	639560	641992	-	YOR162C	YOR162C_mRNA	YRR1	protein_coding	protein_coding
XV	642741	643307	+	YOR163W	YOR163W_mRNA	YOR163W	protein_coding	protein_coding
XV	643394	644332	-	YOR164C	YOR164C_mRNA	GET4	protein_coding	protein_coding
XV	644566	646896	+	YOR165W	YOR165W_mRNA	YOR165W	protein_coding	protein_coding
XV	647126	648502	-	YOR166C	YOR166C_mRNA	YOR166C	protein_coding	protein_coding
XV	648804	649007	-	YOR167C	YOR167C_mRNA	RPS28A	protein_coding	protein_coding
XV	649303	651732	+	YOR168W	YOR168W_mRNA	GLN4	protein_coding	protein_coding
XV	651376	651840	-	YOR169C	YOR169C_mRNA	YOR169C	protein_coding	protein_coding
XV	651858	652163	+	YOR170W	YOR170W_mRNA	YOR170W	protein_coding	protein_coding
XV	652010	653884	-	YOR171C	YOR171C_mRNA	YOR171C	protein_coding	protein_coding
XV	654210	656570	+	YOR172W	YOR172W_mRNA	YOR172W	protein_coding	protein_coding
XV	657264	658325	+	YOR173W	YOR173W_mRNA	YOR173W	protein_coding	protein_coding
XV	658747	659601	+	YOR174W	YOR174W_mRNA	YOR174W	protein_coding	protein_coding
XV	659815	661674	-	YOR175C	YOR175C_mRNA	ALE1	protein_coding	protein_coding
XV	662401	663582	+	YOR176W	YOR176W_mRNA	YOR176W	protein_coding	protein_coding
XV	663812	663885	-	tV(AAC)O	tV(AAC)O_tRNA	tV(AAC)O	tRNA	tRNA
XV	665785	667179	-	YOR177C	YOR177C_mRNA	YOR177C	protein_coding	protein_coding
XV	667860	670241	-	YOR178C	YOR178C_mRNA	YOR178C	protein_coding	protein_coding
XV	671845	672411	-	YOR179C	YOR179C_mRNA	YOR179C	protein_coding	protein_coding
XV	674352	675167	-	YOR180C	YOR180C_mRNA	DCI1	protein_coding	protein_coding
XV	675939	677840	+	YOR181W	YOR181W_mRNA	LAS17	protein_coding	protein_coding
XV	678191	678793	-	YOR182C	YOR182C_mRNA	RPS30B	protein_coding	protein_coding
XV	678872	679261	+	YOR183W	YOR183W_mRNA	YOR183W	protein_coding	protein_coding
XV	679357	680544	+	YOR184W	YOR184W_mRNA	SER1	protein_coding	protein_coding
XV	680685	680866	-	snR36	snR36_snoRNA	snR36	snoRNA	snoRNA
XV	681444	682106	-	YOR185C	YOR185C_mRNA	GSP2	protein_coding	protein_coding
XV	683111	683545	+	YOR186W	YOR186W_mRNA	YOR186W	protein_coding	protein_coding
XV	683329	683538	-	YOR186C-A	YOR186C-A_mRNA	YOR186C-A	protein_coding	protein_coding
XV	684030	685343	+	YOR187W	YOR187W_mRNA	TUF1	protein_coding	protein_coding
XV	685767	689180	+	YOR188W	YOR188W_mRNA	YOR188W	protein_coding	protein_coding
XV	689624	689974	+	YOR189W	YOR189W_mRNA	YOR189W	protein_coding	protein_coding
XV	690695	692032	+	YOR190W	YOR190W_mRNA	SPR1	protein_coding	protein_coding
XV	692475	697334	+	YOR191W	YOR191W_mRNA	ULS1	protein_coding	protein_coding
XV	698768	700567	-	YOR192C	YOR192C_mRNA	YOR192C	protein_coding	protein_coding
XV	703988	704224	-	YOR192C-C	YOR192C-C_mRNA	YOR192C-C	protein_coding	protein_coding
XV	710201	710272	+	tM(CAU)O1	tM(CAU)O1_tRNA	tM(CAU)O1	tRNA	tRNA
XV	710446	711576	+	YOR193W	YOR193W_mRNA	YOR193W	protein_coding	protein_coding
XV	711683	712543	-	YOR194C	YOR194C_mRNA	YOR194C	protein_coding	protein_coding
XV	712866	715331	+	YOR195W	YOR195W_mRNA	YOR195W	protein_coding	protein_coding
XV	715593	716837	-	YOR196C	YOR196C_mRNA	YOR196C	protein_coding	protein_coding
XV	717086	718384	+	YOR197W	YOR197W_mRNA	MCA1	protein_coding	protein_coding
XV	718653	720065	-	YOR198C	YOR198C_mRNA	YOR198C	protein_coding	protein_coding
XV	720181	720510	+	YOR199W	YOR199W_mRNA	YOR199W	protein_coding	protein_coding
XV	720417	720815	+	YOR200W	YOR200W_mRNA	YOR200W	protein_coding	protein_coding
XV	720470	721708	-	YOR201C	YOR201C_mRNA	MRM1	protein_coding	protein_coding
XV	721946	722608	+	YOR202W	YOR202W_mRNA	HIS3	protein_coding	protein_coding
XV	722565	722918	+	YOR203W	YOR203W_mRNA	YOR203W	protein_coding	protein_coding
XV	722911	724725	+	YOR204W	YOR204W_mRNA	DED1	protein_coding	protein_coding
XV	725564	727234	-	YOR205C	YOR205C_mRNA	GEP3	protein_coding	protein_coding
XV	727512	729644	+	YOR206W	YOR206W_mRNA	YOR206W	protein_coding	protein_coding
XV	730008	733457	-	YOR207C	YOR207C_mRNA	RET1	protein_coding	protein_coding
XV	733925	736177	+	YOR208W	YOR208W_mRNA	YOR208W	protein_coding	protein_coding
XV	736437	737726	-	YOR209C	YOR209C_mRNA	YOR209C	protein_coding	protein_coding
XV	738320	738532	+	YOR210W	YOR210W_mRNA	RPB10	protein_coding	protein_coding
XV	738924	741569	-	YOR211C	YOR211C_mRNA	MGM1	protein_coding	protein_coding
XV	742910	744181	+	YOR212W	YOR212W_mRNA	STE4	protein_coding	protein_coding
XV	744535	745281	-	YOR213C	YOR213C_mRNA	YOR213C	protein_coding	protein_coding
XV	745593	746303	-	YOR214C	YOR214C_mRNA	YOR214C	protein_coding	protein_coding
XV	746725	747282	-	YOR215C	YOR215C_mRNA	YOR215C	protein_coding	protein_coding
XV	747525	748979	-	YOR216C	YOR216C_mRNA	RUD3	protein_coding	protein_coding
XV	749301	751886	+	YOR217W	YOR217W_mRNA	RFC1	protein_coding	protein_coding
XV	751476	751895	-	YOR218C	YOR218C_mRNA	YOR218C	protein_coding	protein_coding
XV	752214	755009	-	YOR219C	YOR219C_mRNA	STE13	protein_coding	protein_coding
XV	755328	756125	+	YOR220W	YOR220W_mRNA	RCN2	protein_coding	protein_coding
XV	756476	757558	-	YOR221C	YOR221C_mRNA	YOR221C	protein_coding	protein_coding
XV	758330	759253	+	YOR222W	YOR222W_mRNA	ODC2	protein_coding	protein_coding
XV	759326	759529	-	snR35	snR35_snoRNA	snR35	snoRNA	snoRNA
XV	759782	760660	+	YOR223W	YOR223W_mRNA	YOR223W	protein_coding	protein_coding
XV	760825	761265	-	YOR224C	YOR224C_mRNA	RPB8	protein_coding	protein_coding
XV	761392	761721	+	YOR225W	YOR225W_mRNA	YOR225W	protein_coding	protein_coding
XV	761614	762084	-	YOR226C	YOR226C_mRNA	ISU2	protein_coding	protein_coding
XV	762825	766565	+	YOR227W	YOR227W_mRNA	YOR227W	protein_coding	protein_coding
XV	766869	767777	-	YOR228C	YOR228C_mRNA	YOR228C	protein_coding	protein_coding
XV	768409	769812	+	YOR229W	YOR229W_mRNA	YOR229W	protein_coding	protein_coding
XV	770800	772113	+	YOR230W	YOR230W_mRNA	YOR230W	protein_coding	protein_coding
XV	772601	774127	+	YOR231W	YOR231W_mRNA	MKK1	protein_coding	protein_coding
XV	773163	773363	-	YOR231C-A	YOR231C-A_mRNA	YOR231C-A	protein_coding	protein_coding
XV	774573	775259	+	YOR232W	YOR232W_mRNA	MGE1	protein_coding	protein_coding
XV	775846	778248	+	YOR233W	YOR233W_mRNA	KIN4	protein_coding	protein_coding
XV	778555	779405	-	YOR234C	YOR234C_mRNA	RPL33B	protein_coding	protein_coding
XV	779870	780184	+	YOR235W	YOR235W_mRNA	YOR235W	protein_coding	protein_coding
XV	780107	780596	+	snR17a	snR17a_snoRNA	SNR17A	snoRNA	snoRNA
XV	780906	781541	+	YOR236W	YOR236W_mRNA	YOR236W	protein_coding	protein_coding
XV	781994	783298	+	YOR237W	YOR237W_mRNA	HES1	protein_coding	protein_coding
XV	783677	784588	+	YOR238W	YOR238W_mRNA	YOR238W	protein_coding	protein_coding
XV	784857	786744	+	YOR239W	YOR239W_mRNA	ABP140	protein_coding	protein_coding
XV	786995	788641	+	YOR241W	YOR241W_mRNA	MET7	protein_coding	protein_coding
XV	788742	789857	-	YOR242C	YOR242C_mRNA	YOR242C	protein_coding	protein_coding
XV	790211	792241	-	YOR243C	YOR243C_mRNA	YOR243C	protein_coding	protein_coding
XV	792531	793868	+	YOR244W	YOR244W_mRNA	ESA1	protein_coding	protein_coding
XV	794076	795332	-	YOR245C	YOR245C_mRNA	YOR245C	protein_coding	protein_coding
XV	795801	796793	-	YOR246C	YOR246C_mRNA	YOR246C	protein_coding	protein_coding
XV	797676	798308	+	YOR247W	YOR247W_mRNA	YOR247W	protein_coding	protein_coding
XV	798013	798315	+	YOR248W	YOR248W_mRNA	YOR248W	protein_coding	protein_coding
XV	798674	800731	-	YOR249C	YOR249C_mRNA	APC5	protein_coding	protein_coding
XV	800970	802307	-	YOR250C	YOR250C_mRNA	YOR250C	protein_coding	protein_coding
XV	802550	803464	-	YOR251C	YOR251C_mRNA	YOR251C	protein_coding	protein_coding
XV	803667	804203	+	YOR252W	YOR252W_mRNA	TMA16	protein_coding	protein_coding
XV	804377	804907	+	YOR253W	YOR253W_mRNA	NAT5	protein_coding	protein_coding
XV	805032	807023	-	YOR254C	YOR254C_mRNA	SEC63	protein_coding	protein_coding
XV	807271	808107	+	YOR255W	YOR255W_mRNA	YOR255W	protein_coding	protein_coding
XV	808254	810683	-	YOR256C	YOR256C_mRNA	YOR256C	protein_coding	protein_coding
XV	811008	811493	+	YOR257W	YOR257W_mRNA	CDC31	protein_coding	protein_coding
XV	811671	812324	+	YOR258W	YOR258W_mRNA	YOR258W	protein_coding	protein_coding
XV	812395	813708	-	YOR259C	YOR259C_mRNA	RPT4	protein_coding	protein_coding
XV	813984	815720	+	YOR260W	YOR260W_mRNA	GCD1	protein_coding	protein_coding
XV	815915	816931	-	YOR261C	YOR261C_mRNA	YOR261C	protein_coding	protein_coding
XV	817292	818335	+	YOR262W	YOR262W_mRNA	YOR262W	protein_coding	protein_coding
XV	818757	819164	-	YOR263C	YOR263C_mRNA	YOR263C	protein_coding	protein_coding
XV	818866	820158	+	YOR264W	YOR264W_mRNA	YOR264W	protein_coding	protein_coding
XV	820454	820774	+	YOR265W	YOR265W_mRNA	YOR265W	protein_coding	protein_coding
XV	821023	822294	+	YOR266W	YOR266W_mRNA	YOR266W	protein_coding	protein_coding
XV	822588	824867	-	YOR267C	YOR267C_mRNA	YOR267C	protein_coding	protein_coding
XV	825534	825932	-	YOR268C	YOR268C_mRNA	YOR268C	protein_coding	protein_coding
XV	826385	827869	+	YOR269W	YOR269W_mRNA	YOR269W	protein_coding	protein_coding
XV	828052	830574	-	YOR270C	YOR270C_mRNA	YOR270C	protein_coding	protein_coding
XV	831059	832042	-	YOR271C	YOR271C_mRNA	YOR271C	protein_coding	protein_coding
XV	832332	832521	+	snR8	snR8_snoRNA	snR8	snoRNA	snoRNA
XV	832813	834195	+	YOR272W	YOR272W_mRNA	YOR272W	protein_coding	protein_coding
XV	834452	836431	-	YOR273C	YOR273C_mRNA	YOR273C	protein_coding	protein_coding
XV	837674	838960	+	YOR274W	YOR274W_mRNA	YOR274W	protein_coding	protein_coding
XV	839084	841069	-	YOR275C	YOR275C_mRNA	YOR275C	protein_coding	protein_coding
XV	841333	841818	+	YOR276W	YOR276W_mRNA	CAF20	protein_coding	protein_coding
XV	841515	841823	-	YOR277C	YOR277C_mRNA	YOR277C	protein_coding	protein_coding
XV	841958	842182	-	snR31	snR31_snoRNA	snR31	snoRNA	snoRNA
XV	842403	842606	+	snR5	snR5_snoRNA	snR5	snoRNA	snoRNA
XV	842817	843644	+	YOR278W	YOR278W_mRNA	HEM4	protein_coding	protein_coding
XV	843698	844630	-	YOR279C	YOR279C_mRNA	YOR279C	protein_coding	protein_coding
XV	844992	845792	-	YOR280C	YOR280C_mRNA	YOR280C	protein_coding	protein_coding
XV	846269	847129	-	YOR281C	YOR281C_mRNA	YOR281C	protein_coding	protein_coding
XV	847000	847320	+	YOR282W	YOR282W_mRNA	YOR282W	protein_coding	protein_coding
XV	847453	848145	+	YOR283W	YOR283W_mRNA	YOR283W	protein_coding	protein_coding
XV	848478	849209	+	YOR284W	YOR284W_mRNA	YOR284W	protein_coding	protein_coding
XV	849635	850054	+	YOR285W	YOR285W_mRNA	YOR285W	protein_coding	protein_coding
XV	850280	850729	+	YOR286W	YOR286W_mRNA	RDL2	protein_coding	protein_coding
XV	850937	851839	-	YOR287C	YOR287C_mRNA	YOR287C	protein_coding	protein_coding
XV	852121	853077	-	YOR288C	YOR288C_mRNA	YOR288C	protein_coding	protein_coding
XV	853357	854112	+	YOR289W	YOR289W_mRNA	YOR289W	protein_coding	protein_coding
XV	854187	854259	-	tA(UGC)O	tA(UGC)O_tRNA	tA(UGC)O	tRNA	tRNA
